aaa,9695704,9543,82,126
aab,9814221,9111,17,63
aac,9579048,7655,134,187
aad,9542472,8761,83,172
aae,9857687,9254,126,227
aaf,9812656,8306,68,194
aag,9966024,9445,129,234
aba,9965947,8409,8,24
abb,9797962,9898,55,214
abc,9609538,9412,15,43
abd,9899514,9254,130,274
abe,9803598,7654,21,49
abf,9952225,9469,64,148
abg,9795174,7851,64,107
aca,9978463,6955,30,43
acb,9962945,9326,111,173
acc,9956213,9092,249,469
acd,9945102,8996,7,21
ace,9889477,8978,137,336
acf,9688484,9824,102,268
acg,9890571,8479,109,211
ada,9721772,7793,203,360
adb,9895242,7389,55,119
adc,9907524,9643,138,254
add,9099057,9471,119,226
ade,9985557,9132,33,50
adf,9868192,7871,35,139
adg,9577404,8908,51,155
aea,9986622,9078,100,245
aeb,9872708,8057,202,298
aec,9959931,10201,244,395
aed,9871767,9480,92,216
aee,9906597,7723,13,40
aef,9928744,8045,132,252
aeg,9955953,9628,274,408
afa,9927291,9167,26,85
afb,9993255,7896,198,306
afc,9872204,8947,168,262
afd,9631178,10429,115,184
afe,9883351,11047,54,142
aff,9948880,7724,188,347
afg,9315388,10229,100,141
aga,9942431,8089,73,155
agb,9915020,8992,196,300
agc,9784253,8813,23,74
agd,9998302,8832,72,268
age,9813116,8901,30,64
agf,9650475,8107,126,283
agg,9742259,9050,225,469
baa,9827613,9806,183,300
bab,9965162,10279,50,168
bac,9953261,7738,42,69
bad,9900579,9388,135,247
bae,9635665,8940,139,195
baf,9869354,8383,31,76
bag,9773017,8299,69,178
bba,9986705,10789,175,358
bbb,9976603,9409,175,519
bbc,9918881,10407,216,335
bbd,9930856,8481,184,303
bbe,9873200,8689,196,304
bbf,9937536,7481,283,455
bbg,9933829,9362,42,115
bca,9907520,8799,25,81
bcb,9812383,8767,7,18
bcc,9702787,8937,211,338
bcd,9916256,7228,51,122
bce,9847790,10265,226,482
bcf,9757371,8163,192,352
bcg,9880935,10185,95,197
bda,9831534,8323,52,114
bdb,9865651,8886,179,258
bdc,9785689,9142,95,201
bdd,9920890,9660,271,455
bde,9959274,8278,260,372
bdf,9978053,8935,12,45
bdg,9951181,9634,272,591
bea,9995325,9452,69,213
beb,9934144,8652,80,226
bec,9849824,8613,65,232
bed,9761671,8168,198,393
bee,9803790,7191,69,199
bef,9762995,8508,62,118
beg,9563148,9170,94,249
bfa,9886025,8394,219,307
bfb,9973666,9131,53,128
bfc,9510983,9550,46,73
bfd,9914208,9343,152,227
bfe,9912380,8904,324,633
bff,9850006,9225,94,165
bfg,9619281,8510,182,358
bga,9752497,9375,297,489
bgb,9685620,7038,99,136
bgc,9966238,10178,107,218
bgd,9621122,9599,66,250
bge,9935857,8838,188,348
bgf,9642682,8150,21,73
bgg,9883176,9335,5,7
caa,9832187,8934,277,763
cab,9989405,9549,202,331
cac,9956661,9950,77,189
cad,9993082,8967,73,139
cae,9791013,8163,40,119
caf,9973750,9077,156,360
cag,9985273,10668,210,553
cba,9958349,8411,215,306
cbb,9887752,9376,193,362
cbc,9721721,8614,166,338
cbd,9972215,8663,50,76
cbe,9916200,8424,9,17
cbf,9912693,9514,83,195
cbg,9610536,9391,47,80
cca,9874423,8708,258,379
ccb,9439490,9295,525,1146
ccc,9964936,7083,32,69
ccd,9584778,10309,217,358
cce,9840878,9520,249,373
ccf,9875690,9299,128,214
ccg,9805865,9965,75,170
cda,9977029,8116,232,308
cdb,9899381,8097,216,410
cdc,9728412,9805,8,24
cdd,9987105,9051,77,188
cde,9909015,7681,232,428
cdf,9924530,8626,76,248
cdg,9980263,8927,434,835
cea,9969131,8606,174,302
ceb,9954383,7702,148,254
cec,9812968,8277,90,183
ced,9976806,8581,186,325
cee,9969986,8395,87,129
cef,9908086,8837,79,140
ceg,9990893,8232,107,200
cfa,9754376,8302,6,12
cfb,9975108,8497,254,430
cfc,9951810,8550,90,166
cfd,9946886,9808,161,286
cfe,9956124,9979,341,562
cff,9397076,8212,154,266
cfg,9926411,8982,19,38
cga,9520808,10216,41,99
cgb,9905825,8222,64,133
cgc,9968894,8484,67,114
cgd,9903937,8380,345,611
cge,9962161,8996,142,267
cgf,9432967,8507,14,42
cgg,9966179,8221,229,322
daa,9917491,8454,262,472
dab,9675639,10038,74,216
dac,9877889,9268,13,47
dad,9957406,7741,137,268
dae,9974391,9196,10,43
daf,9973085,8790,140,295
dag,9973520,9641,100,175
dba,9716401,7045,101,146
dbb,9952512,9837,146,225
dbc,9579559,10426,15,49
dbd,9655007,10996,9,44
dbe,9460664,8452,40,85
dbf,9347162,8184,54,155
dbg,9793553,10370,293,435
dca,9738577,9101,78,198
dcb,9918074,8405,455,771
dcc,9833971,7788,355,692
dcd,9846103,10565,57,111
dce,9960543,10274,150,303
dcf,9769472,9145,63,184
dcg,9970261,8780,12,27
dda,9931605,10023,173,281
ddb,9970302,9482,76,187
ddc,9891547,6684,45,68
ddd,9756223,9662,171,307
dde,9936099,8908,92,282
ddf,8905933,10177,66,227
ddg,9853812,9428,20,63
dea,9969486,8314,13,33
deb,9993793,7614,76,230
dec,9652135,8815,156,268
ded,9947983,7234,70,162
dee,9764633,7801,132,244
def,9702113,10062,141,197
deg,9822763,10084,59,180
dfa,9980815,9744,149,212
dfb,9995594,9743,76,163
dfc,9815523,7909,41,68
dfd,9926795,9460,70,212
dfe,9481908,8800,95,210
dff,9707053,9974,5,7
dfg,9720863,8558,6,21
dga,9947915,8874,43,161
dgb,9557972,9351,410,762
dgc,9989791,8380,191,360
dgd,9778575,7651,236,622
dge,9883583,10348,85,225
dgf,9701246,9398,104,288
dgg,9913130,8607,82,171
eaa,9923768,9589,206,379
eab,9777134,6379,180,287
eac,9903061,11597,716,2595
ead,9974328,10909,157,225
eae,9858493,8360,30,80
eaf,9966181,6938,176,326
eag,9944682,8842,66,134
eba,9648287,8852,86,160
ebb,9908222,9488,80,133
ebc,9887336,8938,40,67
ebd,9911727,9386,224,358
ebe,9749766,9447,72,181
ebf,9942406,9140,7,26
ebg,9552442,8310,87,144
eca,9967461,8773,48,159
ecb,9534213,8980,176,371
ecc,9779288,12912,111,192
ecd,9929813,8046,191,421
ece,9969126,8365,167,281
ecf,9989642,8816,228,397
ecg,9979333,9420,58,160
eda,9975308,9146,78,148
edb,9920892,8988,199,291
edc,9943046,9925,63,175
edd,9963611,9533,255,388
ede,9918799,8620,277,403
edf,9923104,7097,19,67
edg,9864114,9547,18,71
eea,9767024,9441,49,99
eeb,9910411,10007,104,180
eec,9981495,8295,73,325
eed,9884675,7432,40,74
eee,9614899,9284,136,226
eef,9937052,9349,236,408
eeg,9876505,7501,184,326
efa,9981634,9489,162,324
efb,9837623,8082,20,59
efc,9816406,8862,302,403
efd,9574440,9630,147,245
efe,9855439,7617,54,109
eff,9823692,7922,218,327
efg,9833167,9876,306,597
ega,9463333,9423,146,273
egb,9842518,9932,106,242
egc,9911538,10849,44,120
egd,9912431,8875,37,63
ege,9982219,8756,105,197
egf,9893433,7407,71,127
egg,9790978,7871,447,768
faa,9946182,9647,639,1510
fab,9708225,9236,113,180
fac,9981492,9658,180,286
fad,9915439,10675,76,130
fae,9997312,8455,5,11
faf,9921257,8661,116,237
fag,9867724,9079,145,266
fba,9926902,9947,279,428
fbb,9949658,8670,192,296
fbc,9952951,8368,40,74
fbd,9992990,10657,154,304
fbe,9833648,10264,5,8
fbf,9985494,8626,54,133
fbg,9985301,8434,108,299
fca,9705720,9426,198,319
fcb,9917788,10011,100,212
fcc,9977592,7668,139,194
fcd,9284526,9505,42,87
fce,9976996,8615,373,638
fcf,9824199,9356,168,331
fcg,9990239,9965,26,54
fda,9956233,8668,90,182
fdb,9600780,8843,112,290
fdc,9970757,8219,90,227
fdd,9673777,8822,476,742
fde,9930944,8186,27,65
fdf,9646098,9370,77,171
fdg,9913847,7833,30,62
fea,9984334,7613,63,95
feb,9702344,7475,217,414
fec,9991557,7338,164,362
fed,9998589,7802,26,42
fee,9838334,8892,5,12
fef,9910313,7752,6,16
feg,9622452,9901,52,144
ffa,9894186,9741,89,138
ffb,9752948,9492,26,92
ffc,9918944,8444,208,352
ffd,9985365,8992,10,58
ffe,9965665,11176,46,85
fff,9882908,9208,126,249
ffg,9085841,9232,204,367
fga,9745373,8770,75,119
fgb,9976100,10423,83,243
fgc,9399836,9507,214,379
fgd,9849866,9527,165,371
fge,9762204,9211,60,195
fgf,9572412,8776,88,153
fgg,9522275,10236,176,460
gaa,9958953,7808,11,27
gab,9789896,10182,123,225
gac,9700652,9314,327,636
gad,9783893,9487,168,278
gae,9988446,8247,66,130
gaf,9923871,9782,37,60
gag,9980707,7889,105,319
gba,9780144,6380,55,154
gbb,9769520,7821,106,172
gbc,9423774,8212,143,292
gbd,9742850,9351,325,569
gbe,9884924,7007,376,509
gbf,9749729,8565,110,235
gbg,9977024,9347,158,211
gca,9849844,7902,326,451
gcb,9964528,7398,59,228
gcc,9974726,8514,128,265
gcd,9874750,9671,87,169
gce,9850963,7326,20,84
gcf,9707832,10223,26,174
gcg,9866169,10020,174,296
gda,9942577,9818,185,287
gdb,9872258,10411,221,387
gdc,9552588,7935,318,481
gdd,9926061,8065,148,247
gde,9907918,9914,180,338
gdf,9929147,7692,33,221
gdg,9998687,9334,37,143
gea,9951680,8882,24,38
geb,9598411,7789,37,98
gec,9732392,8941,16,36
ged,9955923,9466,140,395
gee,9975240,6944,287,455
gef,9932090,10007,76,287
geg,9800359,10453,81,164
gfa,9731689,9482,561,856
gfb,9974913,10208,44,81
gfc,9952379,8972,208,328
gfd,9807397,8806,279,512
gfe,9818670,7703,33,50
gff,9998497,8262,72,182
gfg,9818515,8541,14,50
gga,9825185,9028,156,350
ggb,9915476,8273,5,6
ggc,9778566,10154,18,34
ggd,9974521,9069,176,348
gge,9827861,8829,110,297
ggf,9902409,9552,155,319
ggg,9952701,9329,288,504
